error report
==================================================

Total Top-1 Errors: 90857

1. Top-5 totally wrong class:
      misclassified as: Amanita calyptroderma: 3times
      misclassified as: Pleurotus pulmonarius: 3times
      misclassified as: Entoloma abortivum: 3times
      misclassified as: Laccaria ochropurpurea: 3times
      misclassified as: Clitocybe nebularis: 2times
      misclassified as: Bolbitius titubans: 2times
      misclassified as: Imleria badia: 2times
      misclassified as: Macrolepiota procera: 2times
      misclassified as: Leccinum scabrum: 2times
      misclassified as: Amanita augusta: 2times
      misclassified as: Clitocybe nuda: 1times
      misclassified as: Lepista nuda: 1times
      misclassified as: Psilocybe cubensis: 1times
      misclassified as: Psathyrella candolleana: 1times
      misclassified as: Retiboletus ornatipes: 1times
      misclassified as: Cladonia fimbriata: 1times
      misclassified as: Cladonia stellaris: 1times
      misclassified as: Suillus grevillei: 1times
      misclassified as: Hypholoma lateritium: 1times
      misclassified as: Tapinella atrotomentosa: 1times
      misclassified as: Cladonia rangiferina: 1times

   Amanita calyptroderma:
      misclassified as: Amanita velosa: 60times
      misclassified as: Tricholoma murrillianum: 60times
      misclassified as: Volvopluteus gloiocephalus: 52times
      misclassified as: Agaricus xanthodermus: 41times
      misclassified as: Amanita phalloides: 37times
      misclassified as: Amanita brunnescens: 35times
      misclassified as: Boletus rex-veris: 32times
      misclassified as: Leucoagaricus leucothites: 29times
      misclassified as: Amanita persicina: 23times
      misclassified as: Agaricus augustus: 20times
      misclassified as: Phallus impudicus: 19times
      misclassified as: Cryptoporus volvatus: 19times
      misclassified as: Fomitopsis mounceae: 18times
      misclassified as: Amanita citrina: 17times
      misclassified as: Chlorophyllum molybdites: 16times
      misclassified as: Trametes gibbosa: 16times
      misclassified as: Fomes fomentarius: 15times
      misclassified as: Amanita augusta: 13times
      misclassified as: Coprinus comatus: 10times
      misclassified as: Chlorophyllum brunneum: 9times
      misclassified as: Entoloma abortivum: 7times
      misclassified as: Amanita amerirubescens: 5times
      misclassified as: Amanita flavoconia: 4times
      misclassified as: Boletus pallidus: 4times
      misclassified as: Amanita rubescens: 3times
      misclassified as: Amanita pantherina: 3times
      misclassified as: Tylopilus felleus: 3times
      misclassified as: Leucoagaricus americanus: 3times
      misclassified as: Clitocybe nuda: 3times
      misclassified as: Fomitopsis betulina: 3times
      misclassified as: Hericium erinaceus: 3times
      misclassified as: Trametes versicolor: 3times
      misclassified as: Boletus edulis: 2times
      misclassified as: Clitocybe nebularis: 2times
      misclassified as: Suillus luteus: 2times
      misclassified as: Pleurotus pulmonarius: 2times
      misclassified as: Coprinopsis lagopus: 2times
      misclassified as: Ganoderma applanatum: 2times
      misclassified as: Stropharia ambigua: 2times
      misclassified as: Tylopilus rubrobrunneus: 1times
      misclassified as: Leratiomyces ceres: 1times
      misclassified as: Gymnopilus luteofolius: 1times
      misclassified as: Galerina marginata: 1times
      misclassified as: Psilocybe azurescens: 1times
      misclassified as: Verpa bohemica: 1times
      misclassified as: Fomitopsis pinicola: 1times
      misclassified as: Hypholoma lateritium: 1times
      misclassified as: Bolbitius titubans: 1times
      misclassified as: Platismatia glauca: 1times
      misclassified as: Pleurotus ostreatus: 1times
      misclassified as: Retiboletus ornatipes: 1times
      misclassified as: Sarcomyxa serotina: 1times
      misclassified as: Coprinopsis atramentaria: 1times
      misclassified as: Cantharellus californicus: 1times
      misclassified as: Trametes hirsuta: 1times
      misclassified as: Ganoderma curtisii: 1times
      misclassified as: Macrolepiota procera: 1times
      misclassified as: Armillaria mellea: 1times
      misclassified as: Phyllotopsis nidulans: 1times
      misclassified as: Trametes betulina: 1times

   Amanita citrina:
      misclassified as: Amanita pantherina: 18times
      misclassified as: Leucoagaricus leucothites: 17times
      misclassified as: Amanita amerirubescens: 15times
      misclassified as: Amanita velosa: 14times
      misclassified as: Amanita rubescens: 14times
      misclassified as: Amanita persicina: 13times
      misclassified as: Amanita phalloides: 12times
      misclassified as: Amanita brunnescens: 10times
      misclassified as: Macrolepiota procera: 10times
      misclassified as: Chlorophyllum brunneum: 9times
      misclassified as: Volvopluteus gloiocephalus: 8times
      misclassified as: Chlorophyllum molybdites: 7times
      misclassified as: Amanita calyptroderma: 6times
      misclassified as: Amanita augusta: 5times
      misclassified as: Leucoagaricus americanus: 5times
      misclassified as: Boletus pallidus: 4times
      misclassified as: Agaricus augustus: 4times
      misclassified as: Amanita muscaria: 4times
      misclassified as: Agaricus xanthodermus: 3times
      misclassified as: Clitocybe nebularis: 3times
      misclassified as: Stropharia ambigua: 3times
      misclassified as: Psathyrella candolleana: 3times
      misclassified as: Boletus edulis: 3times
      misclassified as: Tricholoma murrillianum: 2times
      misclassified as: Bolbitius titubans: 2times
      misclassified as: Phallus impudicus: 2times
      misclassified as: Boletus reticulatus: 2times
      misclassified as: Lycoperdon perlatum: 2times
      misclassified as: Leccinum scabrum: 2times
      misclassified as: Clitocybe nuda: 2times
      misclassified as: Stropharia aeruginosa: 2times
      misclassified as: Coprinus comatus: 1times
      misclassified as: Lepista nuda: 1times
      misclassified as: Entoloma abortivum: 1times
      misclassified as: Gliophorus psittacinus: 1times
      misclassified as: Verpa bohemica: 1times
      misclassified as: Laccaria ochropurpurea: 1times
      misclassified as: Hypholoma fasciculare: 1times
      misclassified as: Suillus americanus: 1times
      misclassified as: Leccinum aurantiacum: 1times

   Amanita flavoconia:
      misclassified as: Suillus grevillei: 8times
      misclassified as: Suillus granulatus: 6times
      misclassified as: Bolbitius titubans: 6times
      misclassified as: Hygrophoropsis aurantiaca: 5times
      misclassified as: Gliophorus psittacinus: 5times
      misclassified as: Leratiomyces ceres: 3times
      misclassified as: Omphalotus olivascens: 3times
      misclassified as: Leccinum versipelle: 3times
      misclassified as: Suillus luteus: 2times
      misclassified as: Tricholomopsis rutilans: 2times
      misclassified as: Omphalotus illudens: 2times
      misclassified as: Leccinum aurantiacum: 2times
      misclassified as: Leccinum albostipitatum: 2times
