epoch,batch,train_loss,val_top1,val_top5,val_balanced,val_f1,val_loss,learning_rate,temperature,grad_norm
18,200,0.532666,,,,,,9.90e-04,0.0050,0.0
18,220,0.508462,,,,,,9.90e-04,0.0050,0.0
18,240,0.563487,,,,,,9.90e-04,0.0050,0.0
18,260,0.503720,,,,,,9.90e-04,0.0050,0.0
18,280,0.491072,,,,,,9.90e-04,0.0050,0.0
18,300,0.543530,,,,,,9.89e-04,0.0050,0.0
18,320,0.544763,,,,,,9.89e-04,0.0050,0.0
18,340,0.527715,,,,,,9.89e-04,0.0050,0.0
18,360,0.520104,,,,,,9.89e-04,0.0050,0.0
18,380,0.517482,,,,,,9.89e-04,0.0050,0.0
18,-1,0.531516,0.835169,0.969582,0.819684,0.805437,0.900636,,,,
19,20,0.507746,,,,,,9.89e-04,0.0050,0.0
19,40,0.547758,,,,,,9.89e-04,0.0050,0.0
19,60,0.549984,,,,,,9.89e-04,0.0050,0.0
19,80,0.517653,,,,,,9.89e-04,0.0050,0.0
19,100,0.526524,,,,,,9.89e-04,0.0050,0.0
19,120,0.525328,,,,,,9.89e-04,0.0050,0.0
19,140,0.545372,,,,,,9.88e-04,0.0050,0.0
19,160,0.522407,,,,,,9.88e-04,0.0050,0.0
19,180,0.526004,,,,,,9.88e-04,0.0050,0.0
19,200,0.512447,,,,,,9.88e-04,0.0050,0.0
19,220,0.480478,,,,,,9.88e-04,0.0050,0.0
19,240,0.492556,,,,,,9.88e-04,0.0050,0.0
19,260,0.504344,,,,,,9.88e-04,0.0050,0.0
19,280,0.510816,,,,,,9.88e-04,0.0050,0.0
19,300,0.521081,,,,,,9.88e-04,0.0050,0.0
19,320,0.535802,,,,,,9.88e-04,0.0050,0.0
19,340,0.520585,,,,,,9.88e-04,0.0050,0.0
19,360,0.531623,,,,,,9.87e-04,0.0050,0.0
19,380,0.535363,,,,,,9.87e-04,0.0050,0.0
19,-1,0.522655,0.841573,0.967341,0.820160,0.804858,0.892464,,,,
20,20,0.518928,,,,,,9.87e-04,0.0050,0.0
20,40,0.510270,,,,,,9.87e-04,0.0050,0.0
20,60,0.536686,,,,,,9.87e-04,0.0050,0.0
20,80,0.473581,,,,,,9.87e-04,0.0050,0.0
20,100,0.532157,,,,,,9.87e-04,0.0050,0.0
20,120,0.539567,,,,,,9.87e-04,0.0050,0.0
20,140,0.493865,,,,,,9.87e-04,0.0050,0.0
20,160,0.517735,,,,,,9.87e-04,0.0050,0.0
20,180,0.526291,,,,,,9.86e-04,0.0050,0.0
20,200,0.525164,,,,,,9.86e-04,0.0050,0.0
20,220,0.488645,,,,,,9.86e-04,0.0050,0.0
20,240,0.520704,,,,,,9.86e-04,0.0050,0.0
20,260,0.501455,,,,,,9.86e-04,0.0050,0.0
20,280,0.530973,,,,,,9.86e-04,0.0050,0.0
20,300,0.515446,,,,,,9.86e-04,0.0050,0.0
20,320,0.521129,,,,,,9.86e-04,0.0050,0.0
20,340,0.471833,,,,,,9.86e-04,0.0050,0.0
20,360,0.531397,,,,,,9.86e-04,0.0050,0.0
20,380,0.508930,,,,,,9.85e-04,0.0050,0.0
20,-1,0.515300,0.840292,0.966829,0.816777,0.805217,0.884312,,,,
21,20,0.499436,,,,,,9.85e-04,0.0050,0.0
21,40,0.491156,,,,,,9.85e-04,0.0050,0.0
21,60,0.522639,,,,,,9.85e-04,0.0050,0.0
21,80,0.528728,,,,,,9.85e-04,0.0050,0.0
21,100,0.519516,,,,,,9.85e-04,0.0050,0.0
21,120,0.511052,,,,,,9.85e-04,0.0050,0.0
21,140,0.516735,,,,,,9.85e-04,0.0050,0.0
21,160,0.503524,,,,,,9.85e-04,0.0050,0.0
21,180,0.531212,,,,,,9.85e-04,0.0050,0.0
21,200,0.513870,,,,,,9.84e-04,0.0050,0.0
21,220,0.465646,,,,,,9.84e-04,0.0050,0.0
21,240,0.499398,,,,,,9.84e-04,0.0050,0.0
21,260,0.501646,,,,,,9.84e-04,0.0050,0.0
21,280,0.512114,,,,,,9.84e-04,0.0050,0.0
21,300,0.507987,,,,,,9.84e-04,0.0050,0.0
